corporateID,corporateType,corporateName,corporateKana,location,moddate
3210001011716,http://imi.go.jp/ns/code_id/code/kind#301,大和産業株式会社,ダイワサンギョウ,福井県鯖江市川去町第９号３５番地１,2018-04-19T15:00:00.000Z
6210001011754,http://imi.go.jp/ns/code_id/code/kind#301,田中木材株式会社,タナカモクザイ,福井県鯖江市下河端町１７０１番地,2018-04-15T15:00:00.000Z
7210001012363,http://imi.go.jp/ns/code_id/code/kind#301,株式会社リサ,リサ,福井県鯖江市住吉町１丁目１番７号,2020-12-23T15:00:00.000Z
9210001012444,http://imi.go.jp/ns/code_id/code/kind#301,株式会社カクマ,カクマ,福井県鯖江市東鯖江３丁目４０２番地,2020-04-14T15:00:00.000Z
3210001012474,http://imi.go.jp/ns/code_id/code/kind#301,株式会社松原商事,マツバラショウジ,福井県鯖江市東鯖江２丁目７番１２号,2020-09-03T15:00:00.000Z
9210001012477,http://imi.go.jp/ns/code_id/code/kind#301,株式会社システムグラフィ,システムグラフィ,福井県鯖江市下河端町４１４,2019-04-17T15:00:00.000Z
9210001012527,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ノーザンスター,ノーザンスター,福井県鯖江市下司町第２号４番地,2020-01-23T15:00:00.000Z
3210001012549,http://imi.go.jp/ns/code_id/code/kind#301,丹羽建設鋼業株式会社,,福井県鯖江市石田中町第７号１番地,2015-11-12T15:00:00.000Z
4210001012606,http://imi.go.jp/ns/code_id/code/kind#301,株式会社小松工業,,福井県鯖江市杉本町８１５番地,2015-11-12T15:00:00.000Z
4210001012622,http://imi.go.jp/ns/code_id/code/kind#301,株式会社カイセイ,カイセイ,福井県鯖江市丸山町１丁目６番２７号,2018-04-18T15:00:00.000Z
3210001012623,http://imi.go.jp/ns/code_id/code/kind#301,株式会社丸栄建築設計事務所,,福井県鯖江市西山町２０４番地,2015-11-12T15:00:00.000Z
2210001012624,http://imi.go.jp/ns/code_id/code/kind#301,丸美建設不動産株式会社,マルミケンセツフドウサン,福井県鯖江市当田町１０字２番地１,2021-07-28T15:00:00.000Z
